anyo,id_territori,territori,nivel_territorial,sexe,valor
1998,,Camós,municipi,Total,618
1998,,Campdevànol,municipi,Homes,1636
1998,,Campdevànol,municipi,Dones,1706
1998,,Campdevànol,municipi,Total,3342
1998,,Campelles,municipi,Homes,63
1998,,Campelles,municipi,Dones,60
1998,,Campelles,municipi,Total,123
1998,,Campins,municipi,Homes,129
1998,,Campins,municipi,Dones,133
1998,,Campins,municipi,Total,262
1998,,Campllong,municipi,Homes,147
1998,,Campllong,municipi,Dones,146
1998,,Campllong,municipi,Total,293
1998,,Camprodon,municipi,Homes,1169
1998,,Camprodon,municipi,Dones,1175
1998,,Camprodon,municipi,Total,2344
1998,,Canejan,municipi,Homes,53
1998,,Canejan,municipi,Dones,47
1998,,Canejan,municipi,Total,100
1998,,Canet d'Adri,municipi,Homes,266
1998,,Canet d'Adri,municipi,Dones,253
1998,,Canet d'Adri,municipi,Total,519
1998,,Canet de Mar,municipi,Homes,4708
1998,,Canet de Mar,municipi,Dones,4905
1998,,Canet de Mar,municipi,Total,9613
1998,,Canovelles,municipi,Homes,6599
1998,,Canovelles,municipi,Dones,6507
1998,,Canovelles,municipi,Total,13106
1998,,Cànoves i Samalús,municipi,Homes,843
1998,,Cànoves i Samalús,municipi,Dones,816
1998,,Cànoves i Samalús,municipi,Total,1659
1998,,Cantallops,municipi,Homes,129
1998,,Cantallops,municipi,Dones,128
1998,,Cantallops,municipi,Total,257
1998,,Canyelles,municipi,Homes,810
1998,,Canyelles,municipi,Dones,724
1998,,Canyelles,municipi,Total,1534
1998,,Capafonts,municipi,Homes,61
1998,,Capafonts,municipi,Dones,57
1998,,Capafonts,municipi,Total,118
1998,,Capçanes,municipi,Homes,190
1998,,Capçanes,municipi,Dones,221
1998,,Capçanes,municipi,Total,411
1998,,Capellades,municipi,Homes,2425
1998,,Capellades,municipi,Dones,2549
1998,,Capellades,municipi,Total,4974
1998,,Capmany,municipi,Homes,200
1998,,Capmany,municipi,Dones,197
1998,,Capmany,municipi,Total,397
1998,,Capolat,municipi,Homes,41
1998,,Capolat,municipi,Dones,27
1998,,Capolat,municipi,Total,68
1998,,Cardedeu,municipi,Homes,5630
1998,,Cardedeu,municipi,Dones,5687
1998,,Cardedeu,municipi,Total,11317
1998,,Cardona,municipi,Homes,2775
1998,,Cardona,municipi,Dones,2945
1998,,Cardona,municipi,Total,5720
1998,,Carme,municipi,Homes,349
1998,,Carme,municipi,Dones,328
1998,,Carme,municipi,Total,677
1998,,Caseres,municipi,Homes,160
1998,,Caseres,municipi,Dones,166
1998,,Caseres,municipi,Total,326
1998,,Cassà de la Selva,municipi,Homes,3693
1998,,Cassà de la Selva,municipi,Dones,3752
1998,,Cassà de la Selva,municipi,Total,7445
1998,,Casserres,municipi,Homes,783
1998,,Casserres,municipi,Dones,845
1998,,Casserres,municipi,Total,1628
1998,,"Castell d'Aro, Platja d'Aro i s'Agaró",municipi,Homes,2925
1998,,"Castell d'Aro, Platja d'Aro i s'Agaró",municipi,Dones,2860
1998,,"Castell d'Aro, Platja d'Aro i s'Agaró",municipi,Total,5785
1998,,Castell de l'Areny,municipi,Homes,30
1998,,Castell de l'Areny,municipi,Dones,18
1998,,Castell de l'Areny,municipi,Total,48
1998,,Castell de Mur,municipi,Homes,79
1998,,Castell de Mur,municipi,Dones,70
1998,,Castell de Mur,municipi,Total,149
1998,,Castellar de la Ribera,municipi,Homes,67
1998,,Castellar de la Ribera,municipi,Dones,82
1998,,Castellar de la Ribera,municipi,Total,149
1998,,Castellar de n'Hug,municipi,Homes,87
1998,,Castellar de n'Hug,municipi,Dones,88
1998,,Castellar de n'Hug,municipi,Total,175
1998,,Castellar del Riu,municipi,Homes,55
1998,,Castellar del Riu,municipi,Dones,43
1998,,Castellar del Riu,municipi,Total,98
1998,,Castellar del Vallès,municipi,Homes,8106
1998,,Castellar del Vallès,municipi,Dones,8118
1998,,Castellar del Vallès,municipi,Total,16224
1998,,Castellbell i el Vilar,municipi,Homes,1294
1998,,Castellbell i el Vilar,municipi,Dones,1310
1998,,Castellbell i el Vilar,municipi,Total,2604
1998,,Castellbisbal,municipi,Homes,3437
1998,,Castellbisbal,municipi,Dones,3265
1998,,Castellbisbal,municipi,Total,6702
1998,,Castellcir,municipi,Homes,188
1998,,Castellcir,municipi,Dones,147
1998,,Castellcir,municipi,Total,335
1998,,Castelldans,municipi,Homes,472
1998,,Castelldans,municipi,Dones,471
1998,,Castelldans,municipi,Total,943
1998,,Castelldefels,municipi,Homes,20529
1998,,Castelldefels,municipi,Dones,20665
1998,,Castelldefels,municipi,Total,41194
1998,,Castellet i la Gornal,municipi,Homes,658
1998,,Castellet i la Gornal,municipi,Dones,650
1998,,Castellet i la Gornal,municipi,Total,1308
1998,,Castellfollit de la Roca,municipi,Homes,475
1998,,Castellfollit de la Roca,municipi,Dones,506
1998,,Castellfollit de la Roca,municipi,Total,981
1998,,Castellfollit de Riubregós,municipi,Homes,119
1998,,Castellfollit de Riubregós,municipi,Dones,120
1998,,Castellfollit de Riubregós,municipi,Total,239
1998,,Castellfollit del Boix,municipi,Homes,178
1998,,Castellfollit del Boix,municipi,Dones,186
1998,,Castellfollit del Boix,municipi,Total,364
1998,,Castellgalí,municipi,Homes,440
1998,,Castellgalí,municipi,Dones,413
1998,,Castellgalí,municipi,Total,853
1998,,Castellnou de Bages,municipi,Homes,217
1998,,Castellnou de Bages,municipi,Dones,198
1998,,Castellnou de Bages,municipi,Total,415
1998,,Castellnou de Seana,municipi,Homes,375
1998,,Castellnou de Seana,municipi,Dones,351
1998,,Castellnou de Seana,municipi,Total,726
1998,,Castelló d'Empúries,municipi,Homes,2699
1998,,Castelló d'Empúries,municipi,Dones,2584
1998,,Castelló d'Empúries,municipi,Total,5283
1998,,Castelló de Farfanya,municipi,Homes,300
1998,,Castelló de Farfanya,municipi,Dones,292
1998,,Castelló de Farfanya,municipi,Total,592
1998,,Castellolí,municipi,Homes,222
1998,,Castellolí,municipi,Dones,210
1998,,Castellolí,municipi,Total,432
